Pair_UID,X_unitNum,Y_unitNum,X_area,Y_area,XY_Dist,condition,alignedName,rhoRaw_50ms,pvalRaw_50ms,rhoRaw_150ms,pvalRaw_150ms,rhoRaw_200ms,pvalRaw_200ms,X_Y_visGrade,X_Y_visType,X_Y_moveGrade,X_Y_errGrade,X_Y_rewGrade,X_Y_poorIso,Y_visGrade,Y_visType,Y_moveGrade,Y_errGrade,Y_rewGrade,Y_poorIso,monkey,sessNum,sess,outcome,satCondition,epoch,sameAreaPair,sameChannelPair,pairCount,signifPlusRho,signifMinusRho,nonSignifRho
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateCorrect,PostReward,-0.01131883,0.8326465,-0.1447592,0.006593374,-0.1496117,0.004972646,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,PostReward,1,0,1,0,1,0
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorChoice,Baseline,0.009754334,0.9338053,-0.09544735,0.4153146,-0.143112,0.2206181,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Baseline,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorChoice,Visual,-0.04442749,0.7050755,0.005759644,0.9608853,0.03231199,0.7831611,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Visual,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorChoice,PostSaccade,-0.009082993,0.9383519,0.007045774,0.9521604,0.08517251,0.4675027,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorChoice,PostReward,-0.2733835,0.01763441,-0.1292501,0.269081,-0.1569668,0.1786595,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostReward,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorTiming,Baseline,-0.06514322,0.3643351,-0.1370082,0.0555071,-0.04276709,0.5517219,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Baseline,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorTiming,Visual,0.1220708,0.08829883,0.04468047,0.5340496,0.05783604,0.4207045,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Visual,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorTiming,PostSaccade,-0.06865893,0.3389683,0.03473188,0.6288955,-0.02564796,0.7212166,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateErrorTiming,PostReward,0.04926423,0.4928997,-0.1465616,0.04038196,-0.1875776,0.008470943,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostReward,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastCorrect,Baseline,-0.06623696,0.2144473,-0.05079078,0.3413498,-0.02779657,0.6027163,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Fast,Baseline,1,0,1,0,0,1
