X_unitNum,Y_unitNum,X_area,Y_area,X_visMovType,X_sortVisMov,X_errGrade,X_rewGrade,X_poorIso,Y_visMovType,Y_sortVisMov,Y_errGrade,Y_rewGrade,Y_poorIso,outcome,satCondition,epoch,rscSign,signifPlusRho,signifMinusRho,signifRsc
10,4,SEF,FEF,Vis,1,0,0,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
10,4,SEF,FEF,Vis,1,0,0,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
10,4,SEF,FEF,Vis,1,0,0,0,Other,4,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
10,4,SEF,FEF,Vis,1,0,0,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
10,4,SEF,FEF,Vis,1,0,0,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
10,11,SEF,SC,Vis,1,0,0,0,Vis,1,0,0,0,Correct,Accurate,PostSaccade,1,0,0,0
10,11,SEF,SC,Vis,1,0,0,0,Vis,1,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
10,11,SEF,SC,Vis,1,0,0,0,Vis,1,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,0,0
10,11,SEF,SC,Vis,1,0,0,0,Vis,1,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
10,11,SEF,SC,Vis,1,0,0,0,Vis,1,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
10,11,SEF,SC,Vis,1,0,0,0,Vis,1,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,12,SEF,FEF,VisMov,2,3,3,0,VisMov,2,0,0,0,Correct,Accurate,PostSaccade,1,1,0,1
23,12,SEF,FEF,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
23,12,SEF,FEF,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
23,12,SEF,FEF,VisMov,2,3,3,0,VisMov,2,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
23,12,SEF,FEF,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,0,0
23,12,SEF,FEF,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
23,13,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
